tx_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
lcl|AM181176.4_cds_CAY47412.1_1124,2579.330249,-0.503582657,0.239726408,-2.100655749,0.035671196,0.999871114
lcl|AM181176.4_cds_CAY47474.1_1186,976.1518904,-0.690891793,0.23067984,-2.995024591,0.002744227,0.999871114
lcl|AM181176.4_cds_CAY47666.1_1378,923.7606329,-0.902867135,0.392239054,-2.301828759,0.021344831,0.999871114
lcl|AM181176.4_cds_CAY47876.1_1588,602.8577256,-0.738021449,0.335988521,-2.196567449,0.028051353,0.999871114
lcl|AM181176.4_cds_CAY49302.1_3003,267.2285497,-0.672691275,0.267733055,-2.512544727,0.011986391,0.999871114
lcl|AM181176.4_cds_CAY50013.1_3651,269.7566737,-0.95066243,0.310221161,-3.064466744,0.002180584,0.999871114
lcl|AM181176.4_cds_CAY51332.1_4490,1421.12228,-0.661060098,0.222070054,-2.976808824,0.002912656,0.999871114
lcl|AM181176.4_cds_CAY51599.1_4661,1689.180625,0.581057104,0.220032073,2.640783668,0.008271452,0.999871114
lcl|AM181176.4_cds_CAY52882.1_5480,320.1831804,-0.62574804,0.291886561,-2.143805585,0.032048468,0.999871114
