tx_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
lcl|AM181176.4_cds_CAY47412.1_1124,2040.821552,-0.638021283,0.253121844,-2.520609334,0.011715184,0.999991815
lcl|AM181176.4_cds_CAY47474.1_1186,622.9331316,-1.074925939,0.295514596,-3.637471569,0.000275328,0.999991815
lcl|AM181176.4_cds_CAY47876.1_1588,545.39981,-0.829132972,0.366632097,-2.261484953,0.023729243,0.999991815
lcl|AM181176.4_cds_CAY47924.1_1636,94.20652796,-0.898696145,0.348588533,-2.578100135,0.00993452,0.999991815
lcl|AM181176.4_cds_CAY48006.1_1718,477.8283803,-0.696585447,0.292374548,-2.382510559,0.017195039,0.999991815
lcl|AM181176.4_cds_CAY49302.1_3003,183.0291363,-0.867024134,0.333444379,-2.600206181,0.009316776,0.999991815
lcl|AM181176.4_cds_CAY50013.1_3651,173.5318517,-0.82773212,0.385353034,-2.147983917,0.031715033,0.999991815
lcl|AM181176.4_cds_CAY51332.1_4490,1025.486616,-0.759289083,0.272090649,-2.790573965,0.005261468,0.999991815
lcl|AM181176.4_cds_CAY51441.1_4554,469.7182256,0.538869505,0.258477658,2.084781754,0.037089116,0.999991815
