tx_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
lcl|AM181176.4_cds_CAY52250.1_5071,292.0742425,-0.695697491,0.307982092,-2.258889424,0.023890264,0.999933366
lcl|AM181176.4_cds_CAY52386.1_5161,2292.046456,0.481059421,0.18287698,2.630508347,0.008525728,0.999933366
lcl|AM181176.4_cds_CAY52561.1_5281,248.2124865,-0.709525432,0.325857092,-2.177412892,0.029449775,0.999933366
lcl|AM181176.4_cds_CAY52696.1_5365,15177.89998,-0.361110875,0.131339762,-2.749440605,0.005969708,0.999933366
lcl|AM181176.4_cds_CAY52718.1_5381,830.1029549,-0.525849601,0.198002277,-2.655775518,0.007912627,0.999933366
lcl|AM181176.4_cds_CAY53057.1_5587,452.3417063,-0.701081286,0.259249042,-2.704277247,0.006845315,0.999933366
lcl|AM181176.4_cds_CAY53348.1_5763,915.0219066,-0.604992929,0.200571719,-3.016342149,0.002558444,0.80915052
lcl|AM181176.4_cds_CAY53349.1_5764,621.1763248,-0.692317815,0.244720786,-2.829011077,0.004669208,0.999933366
lcl|AM181176.4_cds_CAY53400.1_5794,333.1384227,0.628124574,0.277007826,2.267533674,0.023357644,0.999933366
lcl|AM181176.4_cds_CAY53483.1_5843,1588.33181,-0.794596679,0.171825952,-4.624427621,3.76E-06,0.012015195
lcl|AM181176.4_cds_CAY53532.1_5872,297.574958,0.633437658,0.287365776,2.204290524,0.027503919,0.999933366
lcl|AM181176.4_cds_CAY53753.1_6009,1628.904214,-0.399938049,0.168681564,-2.370964795,0.017741721,0.999933366
